bedrooms,bathrooms,sqft,lot_size_acres,age_years,distance_city_center_km,crime_rate_index,school_rating,price
2.0,3.0,4265.0,0.57,74.0,17.75,9.35,2.0,1181657.03
4.0,2.0,3044.0,0.17,4.0,11.42,9.1,3.0,994634.85
4.0,3.0,1600.0,0.89,26.0,24.88,8.21,4.0,774422.86
4.0,2.0,3950.0,0.42,11.0,24.8,8.89,9.0,1256365.3
4.0,3.0,1450.0,0.84,16.0,14.84,2.07,3.0,780622.02
5.0,1.0,1988.0,0.8,5.0,11.17,2.91,7.0,895310.26
3.0,3.0,1954.0,0.64,4.0,11.51,2.96,3.0,875173.73
1.0,3.0,4312.0,0.52,56.0,24.37,3.83,7.0,1146661.73
4.0,3.0,1967.0,0.98,27.0,10.52,3.99,7.0,960380.32
2.0,3.0,1421.0,0.19,77.0,7.06,5.49,9.0,605496.2
4.0,2.0,1054.0,0.74,68.0,3.46,1.68,2.0,617920.21
,,,,,,,,
2.0,3.0,3372.0,0.37,32.0,14.98,1.76,9.0,1030874.85
4.0,2.0,4326.0,0.34,61.0,25.39,3.17,2.0,1211012.33
5.0,1.0,3736.0,0.95,49.0,7.42,5.08,2.0,1213395.75
2.0,1.0,3747.0,0.97,18.0,12.05,7.98,5.0,1135068.3
2.0,1.0,1310.0,0.22,68.0,24.44,7.42,10.0,472881.1
4.0,1.0,2790.0,0.07,65.0,24.89,6.49,10.0,835367.33
2.0,3.0,1516.0,0.73,46.0,12.15,1.64,10.0,692735.67
2.0,3.0,3475.0,0.45,38.0,14.31,5.52,8.0,1070080.06
4.0,2.0,3252.0,0.13,67.0,9.8,0.97,9.0,1048696.96
4.0,2.0,2096.0,0.7,32.0,28.04,3.84,2.0,792480.54
1.0,2.0,2040.0,0.57,12.0,4.44,4.19,5.0,730792.45
5.0,1.0,904.0,0.98,53.0,28.08,0.49,7.0,616882.69
5.0,1.0,1335.0,0.27,6.0,20.83,2.81,6.0,665321.07
2.0,3.0,4168.0,0.43,78.0,16.42,9.56,6.0,1135838.74
5.0,1.0,2938.0,0.57,13.0,1.95,9.54,7.0,1042864.12
2.0,1.0,2563.0,0.8,18.0,14.79,3.59,3.0,826864.53
,,,,,,,,
4.0,2.0,2609.0,0.63,19.0,5.68,1.87,10.0,1037100.18
4.0,2.0,3938.0,0.26,28.0,20.04,3.98,9.0,1185221.99
4.0,3.0,3514.0,0.85,23.0,29.16,9.48,8.0,1227028.78
5.0,1.0,3615.0,0.46,62.0,17.3,1.5,5.0,1099058.03
1.0,1.0,4293.0,0.18,73.0,21.73,7.66,6.0,956062.41
5.0,3.0,3621.0,0.68,56.0,2.99,1.18,10.0,1263890.8
5.0,1.0,3489.0,0.26,7.0,13.11,9.81,1.0,1038494.81
1.0,1.0,1561.0,0.14,61.0,4.37,3.88,10.0,524179.16
1.0,2.0,3589.0,0.87,28.0,18.77,7.77,1.0,1048029.62
1.0,3.0,4448.0,0.49,73.0,28.22,3.49,4.0,1122619.76
1.0,3.0,1626.0,0.76,16.0,20.19,6.31,2.0,679105.94
4.0,3.0,2732.0,0.33,65.0,3.23,2.0,7.0,1002111.47
3.0,3.0,4465.0,0.8,5.0,11.29,1.55,2.0,1340278.28
3.0,2.0,2975.0,0.16,57.0,16.97,9.39,10.0,938671.32
1.0,2.0,3463.0,0.39,68.0,12.69,9.18,2.0,869558.51
3.0,1.0,2073.0,0.98,27.0,25.18,8.89,5.0,780620.84
3.0,1.0,3101.0,0.8,61.0,24.63,6.29,4.0,924623.15
1.0,1.0,2547.0,0.52,40.0,18.74,8.1,8.0,736646.04
3.0,1.0,3276.0,0.37,68.0,11.83,0.78,4.0,933877.39
,,,,,,,,
2.0,3.0,1777.0,0.57,48.0,4.07,3.21,5.0,740937.06
2.0,2.0,1264.0,0.77,48.0,11.29,6.39,2.0,588019.88
1.0,1.0,611.0,0.77,75.0,12.98,3.62,8.0,375789.27
4.0,2.0,1756.0,0.07,70.0,20.6,1.57,2.0,664507.24
,,,,,,,,
4.0,3.0,3964.0,0.68,9.0,3.03,8.16,9.0,1369054.59
2.0,2.0,3622.0,0.2,34.0,12.46,3.88,3.0,978863.07
1.0,2.0,3971.0,0.29,79.0,6.27,1.41,4.0,994490.32
5.0,2.0,2363.0,0.95,1.0,5.55,2.05,8.0,1086451.15
3.0,1.0,3430.0,0.58,23.0,24.99,2.45,9.0,1041059.83
4.0,2.0,642.0,0.76,73.0,2.22,3.07,3.0,539913.61
3.0,2.0,1543.0,0.58,37.0,13.16,6.46,5.0,630935.75
3.0,2.0,2990.0,0.57,21.0,5.88,6.05,8.0,1036070.31
1.0,3.0,1949.0,0.14,25.0,26.5,6.99,3.0,624133.94
3.0,3.0,4485.0,0.38,42.0,17.15,3.69,7.0,1258632.62
5.0,1.0,3145.0,0.32,54.0,7.71,8.26,8.0,1049553.37
3.0,1.0,3011.0,0.42,38.0,15.57,2.12,10.0,933169.47
1.0,3.0,1490.0,0.81,28.0,22.21,4.74,3.0,611379.42
5.0,3.0,3074.0,0.4,19.0,28.79,8.03,2.0,1086420.21
2.0,3.0,1604.0,0.48,40.0,7.39,1.88,10.0,697267.31
3.0,2.0,620.0,0.43,53.0,26.7,1.19,7.0,427662.04
1.0,2.0,1006.0,0.14,19.0,28.09,8.85,9.0,460691.69
2.0,3.0,3266.0,0.47,18.0,27.58,3.5,1.0,953878.87
2.0,2.0,1614.0,0.24,65.0,19.43,6.87,3.0,560435.91
4.0,2.0,935.0,0.23,29.0,19.26,0.35,5.0,521830.94
5.0,1.0,2438.0,0.14,52.0,12.69,6.93,3.0,791382.93
3.0,3.0,3788.0,0.39,33.0,22.82,3.23,1.0,1075586.11
1.0,3.0,1747.0,0.77,21.0,16.41,0.65,7.0,707125.78
4.0,2.0,3046.0,0.31,66.0,20.65,6.14,7.0,933264.27
5.0,3.0,3440.0,0.35,5.0,13.43,2.48,10.0,1244785.93
4.0,1.0,2427.0,0.66,78.0,22.21,3.93,8.0,852706.88
5.0,1.0,1314.0,0.24,26.0,24.91,0.9,5.0,614567.14
5.0,1.0,2600.0,0.9,9.0,5.25,1.56,10.0,4070088.18
3.0,3.0,4454.0,0.54,72.0,25.15,3.05,5.0,1224239.37
5.0,3.0,923.0,0.48,47.0,16.67,0.99,5.0,642467.28
4.0,3.0,1388.0,0.58,69.0,25.5,9.12,1.0,590128.85
5.0,3.0,740.0,0.21,58.0,13.51,0.16,10.0,622699.19
3.0,3.0,1069.0,0.63,58.0,11.99,4.89,5.0,605266.25
3.0,1.0,1386.0,0.39,1.0,27.54,1.32,6.0,590397.08
,,,,,,,,
2.0,1.0,1957.0,0.21,67.0,25.48,9.27,7.0,592514.95
2.0,3.0,2516.0,0.53,64.0,15.04,1.7,1.0,844277.83
,,,,,,,,
1.0,3.0,3655.0,0.08,9.0,9.95,2.14,2.0,1007023.92
5.0,3.0,972.0,0.4,52.0,17.62,7.44,5.0,660773.0
4.0,1.0,4235.0,0.75,78.0,10.43,5.51,10.0,1258593.4
4.0,3.0,3141.0,0.83,58.0,2.14,8.86,7.0,1135107.55
4.0,2.0,4210.0,0.35,21.0,8.89,5.58,1.0,1219265.66
4.0,3.0,2292.0,0.81,50.0,1.18,5.39,10.0,1027836.81
4.0,2.0,3398.0,0.97,47.0,29.37,2.04,1.0,1063578.38
3.0,2.0,1779.0,0.86,20.0,29.01,1.75,1.0,718404.87
2.0,3.0,2938.0,0.16,21.0,12.46,9.17,6.0,934075.0
4.0,1.0,2271.0,0.75,29.0,22.12,3.35,2.0,847459.29
1.0,2.0,3815.0,0.35,24.0,11.03,3.78,1.0,963098.28
1.0,1.0,705.0,0.99,27.0,20.46,7.62,6.0,432118.16
1.0,2.0,2043.0,0.51,64.0,24.36,3.45,2.0,611215.16
1.0,3.0,3317.0,0.17,44.0,28.46,9.53,6.0,894483.56
3.0,3.0,2281.0,0.74,67.0,12.61,7.41,10.0,920777.69
1.0,2.0,601.0,0.36,6.0,23.72,6.01,8.0,399440.72
4.0,3.0,3236.0,1.0,48.0,8.71,8.82,2.0,1154409.06
5.0,2.0,3291.0,0.98,8.0,29.72,0.59,9.0,1226320.93
1.0,3.0,2737.0,0.67,35.0,1.75,2.64,8.0,953674.66
3.0,1.0,4016.0,0.17,0.0,18.5,4.7,10.0,1130913.78
3.0,3.0,949.0,0.7,9.0,20.13,2.35,1.0,603328.82
1.0,1.0,4130.0,0.14,35.0,20.95,7.46,7.0,972070.62
5.0,3.0,1886.0,0.08,72.0,4.49,9.2,10.0,809379.56
1.0,1.0,4022.0,0.83,45.0,28.22,4.3,6.0,1049809.13
3.0,3.0,3779.0,0.25,31.0,6.25,3.49,6.0,1131571.27
2.0,1.0,4257.0,0.41,31.0,19.06,9.62,6.0,1105816.29
4.0,2.0,1662.0,0.97,5.0,7.46,4.5,6.0,896084.99
3.0,2.0,3556.0,0.37,47.0,9.91,4.94,10.0,1118608.75
1.0,1.0,2806.0,0.33,37.0,16.85,3.58,7.0,808690.9
4.0,3.0,4254.0,0.92,16.0,13.1,9.1,3.0,1398803.05
1.0,1.0,3606.0,0.16,73.0,5.65,5.73,6.0,924095.36
1.0,3.0,2959.0,0.77,26.0,5.96,7.65,3.0,948285.59
2.0,2.0,3912.0,0.99,53.0,13.13,8.14,7.0,1145509.59
4.0,3.0,1044.0,0.91,49.0,22.96,3.48,7.0,684632.15
,,,,,,,,
2.0,3.0,1551.0,0.35,24.0,3.44,8.5,2.0,644602.53
3.0,3.0,635.0,0.29,27.0,12.4,3.7,9.0,541372.63
1.0,3.0,1707.0,0.83,14.0,3.91,7.96,5.0,719118.58
5.0,1.0,2075.0,0.89,3.0,1.48,9.42,9.0,971246.52
1.0,1.0,2398.0,0.55,72.0,20.19,6.27,10.0,704260.19
1.0,2.0,2445.0,0.28,26.0,18.47,7.44,5.0,693235.53
3.0,2.0,2008.0,0.16,25.0,5.73,8.07,7.0,756247.77
1.0,1.0,1795.0,0.13,18.0,7.78,8.47,9.0,612926.6
2.0,2.0,1999.0,0.73,16.0,1.69,4.01,4.0,737242.28
2.0,1.0,2308.0,0.45,42.0,25.21,0.61,2.0,641548.76
4.0,3.0,1985.0,0.91,40.0,29.27,4.08,9.0,918432.2
5.0,2.0,3206.0,0.75,41.0,4.93,6.77,2.0,1152734.36
1.0,2.0,3538.0,0.23,49.0,7.71,4.56,3.0,899602.15
1.0,1.0,2788.0,0.63,39.0,26.18,7.51,10.0,767020.19
3.0,2.0,3534.0,0.46,38.0,27.87,3.63,2.0,1034883.48
2.0,2.0,3789.0,0.6,22.0,13.17,6.38,3.0,1064048.7
5.0,3.0,1900.0,0.75,51.0,2.47,1.95,6.0,926360.07
4.0,2.0,3373.0,0.82,46.0,2.14,7.52,3.0,1133940.9
2.0,3.0,1843.0,0.85,62.0,17.64,5.5,10.0,762741.33
4.0,1.0,3697.0,0.29,68.0,12.39,2.12,8.0,1055537.41
3.0,2.0,1120.0,0.08,42.0,1.83,2.99,6.0,529689.0
3.0,3.0,2406.0,0.75,47.0,17.91,7.51,7.0,950283.57
1.0,1.0,609.0,0.15,33.0,1.33,4.88,1.0,307392.27
,,,,,,,,
4.0,1.0,3025.0,0.05,74.0,9.89,9.68,3.0,814151.34
2.0,2.0,2256.0,0.7,60.0,2.17,7.18,2.0,775833.84
3.0,1.0,2260.0,0.21,49.0,18.06,9.58,7.0,730074.0
1.0,1.0,3329.0,0.67,66.0,12.53,4.33,9.0,889512.34
1.0,3.0,3231.0,0.99,61.0,29.24,4.8,4.0,959994.2
4.0,1.0,2799.0,0.12,57.0,16.78,8.99,5.0,863774.85
3.0,2.0,1319.0,0.12,32.0,8.98,5.3,3.0,574577.32
5.0,2.0,1672.0,0.37,74.0,21.57,7.1,9.0,737606.61
3.0,3.0,3825.0,0.87,15.0,8.87,2.6,4.0,1243725.29
4.0,2.0,1458.0,0.25,47.0,27.22,4.52,5.0,640007.14
4.0,2.0,1916.0,0.39,9.0,11.87,1.32,1.0,777489.04
,,,,,,,,
4.0,1.0,649.0,0.77,18.0,2.47,0.11,9.0,622218.63
3.0,1.0,3311.0,0.44,35.0,13.36,0.49,2.0,967293.45
2.0,2.0,12712.0,0.77,58.0,25.14,9.78,5.0,5726148.0600000005
3.0,3.0,4283.0,0.91,62.0,24.36,2.5,8.0,1273796.35
3.0,1.0,3731.0,0.27,76.0,7.51,6.67,3.0,987344.72
4.0,3.0,3838.0,0.82,45.0,7.56,8.41,6.0,1267627.91
4.0,2.0,3873.0,0.11,2.0,24.7,5.55,4.0,1149801.92
1.0,2.0,3504.0,0.9,73.0,27.98,1.62,7.0,981294.66
1.0,1.0,2980.0,0.67,64.0,3.77,7.31,10.0,2523244.5
2.0,2.0,1514.0,0.88,7.0,14.05,6.04,3.0,655042.97
1.0,1.0,4347.0,0.05,50.0,10.79,7.34,6.0,987711.83
3.0,2.0,3640.0,0.21,72.0,26.25,7.72,10.0,1027346.85
4.0,2.0,2062.0,0.42,5.0,3.42,9.76,9.0,876335.75
1.0,1.0,11556.0,0.41,38.0,7.12,5.78,10.0,5084955.18
1.0,1.0,1180.0,0.27,59.0,22.82,3.48,1.0,315257.19
2.0,1.0,3334.0,0.41,27.0,2.49,6.52,3.0,968919.02
2.0,2.0,2184.0,0.17,53.0,15.28,0.78,2.0,667627.28
3.0,2.0,1082.0,0.44,36.0,13.82,8.98,8.0,590253.7
4.0,3.0,3779.0,0.81,8.0,10.7,1.28,7.0,1336921.18
2.0,1.0,1849.0,0.51,55.0,12.44,3.35,2.0,619713.36
1.0,2.0,1272.0,0.07,58.0,16.37,8.18,6.0,418569.94
4.0,2.0,1230.0,0.45,1.0,5.68,6.01,3.0,683686.53
4.0,1.0,3308.0,0.08,60.0,17.59,4.0,8.0,921134.51
1.0,3.0,1261.0,0.97,57.0,24.36,4.79,10.0,640868.81
,,,,,,,,
1.0,3.0,3452.0,0.72,39.0,5.46,3.47,10.0,1037200.5
4.0,2.0,4326.0,0.97,35.0,5.33,8.71,9.0,1369048.23
5.0,3.0,3066.0,0.83,36.0,8.78,0.97,1.0,1159073.24
5.0,2.0,1587.0,0.71,78.0,11.47,7.79,5.0,801341.05
3.0,1.0,4126.0,0.85,17.0,12.85,8.49,3.0,1200163.51
1.0,1.0,3831.0,0.98,62.0,20.71,1.9,6.0,1007188.97
1.0,1.0,2146.0,0.64,21.0,2.64,4.36,10.0,718325.01
3.0,3.0,1249.0,0.58,10.0,2.01,1.74,2.0,716202.29
3.0,2.0,1568.0,0.65,57.0,12.37,7.1,9.0,716799.36
3.0,1.0,3237.0,0.56,56.0,21.22,5.4,6.0,941657.21
4.0,1.0,1700.0,0.65,76.0,6.61,6.39,7.0,709719.56
1.0,2.0,3156.0,0.48,3.0,19.6,2.05,5.0,923411.59
4.0,1.0,1040.0,0.26,6.0,8.54,2.2,9.0,627706.37
3.0,2.0,3925.0,0.16,60.0,26.7,0.51,1.0,995413.31
1.0,2.0,1520.0,0.11,53.0,26.98,3.29,5.0,439047.55
4.0,2.0,1369.0,0.3,67.0,9.62,5.64,10.0,647901.95
4.0,2.0,1943.0,0.09,78.0,7.67,8.59,6.0,703100.51
3.0,2.0,2426.0,0.59,0.0,12.93,6.7,7.0,896694.29
1.0,3.0,862.0,0.32,54.0,7.98,4.41,4.0,462596.84
3.0,1.0,4268.0,0.83,2.0,20.5,9.54,1.0,1198254.39
1.0,3.0,4329.0,0.12,77.0,24.96,7.22,8.0,1042276.67
5.0,1.0,2177.0,0.27,37.0,20.52,9.31,10.0,819335.05
2.0,3.0,4045.0,0.74,0.0,24.91,5.32,4.0,1195840.57
2.0,2.0,3284.0,0.62,37.0,12.51,2.66,3.0,934007.52
2.0,1.0,3838.0,0.11,28.0,5.53,0.62,7.0,1019527.59
3.0,1.0,4424.0,0.88,4.0,22.4,7.29,2.0,1223630.81
5.0,3.0,3106.0,0.88,73.0,11.45,1.3,8.0,1193822.21
1.0,3.0,1598.0,0.36,20.0,20.47,3.1,6.0,611441.25
4.0,1.0,3951.0,0.37,70.0,8.85,5.37,7.0,1173735.47
1.0,3.0,1299.0,0.99,66.0,3.36,5.69,5.0,618170.99
4.0,3.0,2949.0,0.64,46.0,29.78,6.05,9.0,986580.12
1.0,3.0,4202.0,0.55,34.0,5.53,1.75,5.0,1196118.62
5.0,2.0,2203.0,0.85,67.0,29.66,3.86,5.0,899888.46
4.0,2.0,1841.0,0.32,68.0,29.34,6.21,3.0,683553.16
3.0,3.0,1725.0,0.46,0.0,24.02,9.7,1.0,699058.33
1.0,3.0,3201.0,0.3,67.0,20.12,7.3,2.0,839453.04
1.0,2.0,2935.0,0.8,11.0,17.76,9.23,8.0,933594.22
4.0,2.0,1790.0,0.59,59.0,26.12,7.65,1.0,694678.59
3.0,1.0,3268.0,0.68,26.0,9.39,5.96,7.0,999152.74
3.0,1.0,1605.0,0.29,55.0,14.56,2.0,5.0,644753.84
5.0,2.0,635.0,0.26,22.0,18.96,6.7,3.0,553446.58
,,,,,,,,
3.0,3.0,2364.0,0.75,20.0,13.4,6.06,9.0,983747.71
3.0,3.0,952.0,0.55,60.0,10.58,4.95,2.0,568148.84
,,,,,,,,
5.0,1.0,2522.0,0.88,51.0,25.67,3.41,9.0,999350.66
1.0,2.0,672.0,0.11,24.0,6.84,5.24,3.0,361644.32
4.0,3.0,3295.0,0.96,54.0,28.1,2.06,2.0,1094984.28
1.0,1.0,1976.0,0.07,45.0,20.98,8.07,7.0,556505.29
5.0,3.0,2514.0,0.71,31.0,24.87,1.94,5.0,1012778.6
4.0,2.0,1693.0,0.13,54.0,17.13,0.94,5.0,673539.56
5.0,1.0,3072.0,0.92,4.0,23.61,4.42,10.0,1160963.01
3.0,2.0,3646.0,0.49,35.0,1.47,6.62,5.0,1138819.95
4.0,2.0,1307.0,0.18,48.0,24.73,4.43,4.0,567805.08
3.0,1.0,2404.0,0.37,57.0,2.16,2.84,5.0,790859.24
1.0,1.0,3208.0,0.21,38.0,26.81,5.63,4.0,820979.52
1.0,1.0,3475.0,0.21,79.0,29.77,3.54,6.0,800669.05
4.0,1.0,4313.0,0.95,60.0,9.53,9.34,4.0,1277301.14
4.0,1.0,1555.0,0.47,8.0,7.1,9.23,2.0,730969.61
5.0,1.0,3164.0,0.8,5.0,23.2,5.07,9.0,1153614.55
5.0,1.0,3075.0,0.66,34.0,8.34,3.35,2.0,1018165.39
3.0,3.0,4210.0,0.69,38.0,26.1,7.4,9.0,1257690.45
4.0,2.0,759.0,0.18,21.0,3.98,0.46,10.0,603401.58
,,,,,,,,
5.0,3.0,3423.0,0.8,4.0,29.4,3.43,9.0,1265336.6
5.0,3.0,3901.0,0.97,41.0,20.54,9.21,9.0,1404239.48
1.0,3.0,2335.0,0.3,75.0,25.56,0.22,3.0,647420.26
5.0,2.0,2185.0,0.31,79.0,10.41,5.57,1.0,797406.72
3.0,1.0,666.0,0.5,66.0,20.62,7.43,1.0,335982.8
4.0,3.0,3661.0,0.98,29.0,18.23,4.9,3.0,1258503.2
1.0,2.0,4483.0,0.31,56.0,18.49,0.95,5.0,1083667.95
4.0,2.0,3028.0,0.44,72.0,20.79,9.73,3.0,958297.74
5.0,2.0,657.0,0.9,28.0,17.69,5.23,9.0,701445.6
5.0,3.0,3930.0,0.05,36.0,13.44,6.18,9.0,1296511.99
1.0,1.0,941.0,0.09,12.0,9.0,2.44,3.0,377465.51
3.0,3.0,1753.0,0.62,31.0,23.29,4.89,3.0,730453.27
,,,,,,,,
1.0,1.0,1795.0,0.28,22.0,21.08,0.84,2.0,507234.94
2.0,1.0,3417.0,0.5,44.0,7.77,1.15,6.0,972668.2
2.0,1.0,3261.0,0.48,16.0,19.13,8.39,7.0,937726.95
3.0,2.0,1832.0,0.5,65.0,22.67,2.47,9.0,710418.23
2.0,1.0,4474.0,0.64,5.0,7.34,2.03,6.0,1220137.67
2.0,3.0,3001.0,0.5,17.0,2.74,5.1,3.0,980178.92
,,,,,,,,
2.0,3.0,2421.0,0.5,32.0,18.57,0.71,4.0,788663.06
2.0,2.0,715.0,0.61,29.0,25.63,5.81,5.0,437563.15
2.0,3.0,3935.0,0.56,31.0,2.3,1.28,8.0,1202120.94
1.0,3.0,1261.0,0.86,41.0,22.29,0.46,8.0,562443.67
1.0,1.0,4483.0,0.1,77.0,10.9,0.62,6.0,1065295.29
1.0,1.0,2065.0,0.84,9.0,14.88,8.36,1.0,659837.78
3.0,3.0,4219.0,0.85,35.0,27.94,1.27,8.0,1275023.25
5.0,1.0,3100.0,0.32,33.0,10.63,0.55,8.0,1043318.15
,,,,,,,,
2.0,2.0,4148.0,0.47,27.0,1.4,8.46,4.0,1142940.54
3.0,1.0,2934.0,0.26,10.0,3.37,2.7,2.0,913318.27
2.0,2.0,3974.0,0.43,77.0,8.5,4.27,4.0,1063159.13
1.0,1.0,1616.0,0.09,38.0,1.81,0.5,10.0,528085.16
5.0,3.0,910.0,0.31,46.0,19.31,4.55,7.0,637156.9
4.0,3.0,807.0,0.83,18.0,13.37,5.82,9.0,679914.61
2.0,2.0,3265.0,0.32,14.0,16.9,5.75,8.0,949258.18
1.0,1.0,3093.0,0.83,27.0,6.06,3.39,9.0,952036.97
4.0,1.0,3317.0,0.56,23.0,9.58,3.22,8.0,1071092.71
5.0,2.0,1232.0,0.89,71.0,20.25,1.16,2.0,729905.69
4.0,3.0,2702.0,0.6,8.0,28.99,3.73,7.0,1019973.46
1.0,2.0,3559.0,0.08,46.0,2.46,1.08,2.0,871283.53
4.0,3.0,3683.0,0.69,32.0,26.82,7.69,2.0,1143748.05
3.0,1.0,1256.0,0.09,61.0,17.73,9.67,4.0,486464.39
4.0,3.0,2023.0,0.48,18.0,17.35,9.7,1.0,825519.73
2.0,2.0,2531.0,0.93,66.0,15.51,8.66,5.0,864189.9
2.0,1.0,4319.0,0.21,73.0,3.01,6.05,6.0,1073925.24
,,,,,,,,
1.0,2.0,3162.0,0.74,46.0,18.43,2.92,10.0,971468.95
2.0,3.0,2279.0,0.89,64.0,10.89,6.34,8.0,847178.45
5.0,2.0,4213.0,0.69,28.0,27.6,4.61,2.0,1296376.08
2.0,3.0,836.0,0.3,49.0,12.79,4.87,1.0,438949.33
2.0,1.0,3950.0,0.69,12.0,5.16,7.6,2.0,1120954.47
1.0,3.0,947.0,0.33,0.0,21.73,2.89,7.0,536364.68
4.0,1.0,3274.0,0.73,33.0,9.51,3.25,4.0,1054811.45
2.0,3.0,3775.0,0.96,47.0,16.24,9.25,10.0,1183952.16
3.0,2.0,1229.0,0.74,76.0,21.24,0.66,5.0,601306.17
4.0,3.0,2140.0,0.87,47.0,27.11,4.91,7.0,889184.93
5.0,3.0,2603.0,0.05,48.0,23.97,9.14,3.0,933919.31
1.0,1.0,1871.0,0.73,63.0,20.61,6.14,10.0,655330.45
5.0,2.0,963.0,0.84,60.0,20.71,5.51,2.0,620442.61
4.0,3.0,2968.0,0.09,28.0,28.43,2.57,7.0,945292.5
4.0,2.0,4304.0,0.88,38.0,9.58,3.5,5.0,1310678.46
4.0,3.0,885.0,0.29,25.0,1.03,8.54,1.0,574262.61
5.0,3.0,748.0,0.68,16.0,8.89,5.64,1.0,689035.21
4.0,2.0,1707.0,0.81,70.0,7.32,5.2,9.0,838643.41
5.0,3.0,3053.0,0.68,12.0,20.19,1.09,5.0,1165477.52
4.0,2.0,3625.0,0.14,68.0,19.38,0.26,1.0,1002386.16
3.0,3.0,1055.0,0.62,25.0,18.21,9.64,7.0,650609.97
4.0,1.0,2366.0,0.57,48.0,1.47,3.83,9.0,880449.44
5.0,2.0,1399.0,0.91,66.0,22.13,6.07,1.0,742949.16
,,,,,,,,
,,,,,,,,
2.0,1.0,3431.0,0.76,48.0,17.14,9.33,3.0,942704.29
3.0,2.0,3107.0,0.44,52.0,10.94,5.8,5.0,957248.06
1.0,3.0,4221.0,0.66,64.0,4.9,1.35,7.0,1189226.46
3.0,1.0,2123.0,0.66,61.0,3.74,5.86,8.0,815060.26
4.0,3.0,3385.0,0.89,16.0,25.11,7.69,2.0,1144273.0
