transaction_id,amount,time_in_seconds,customer_age,customer_tenure_months,transaction_location,merchant_category,is_international,card_type,fraud
64,1784.41,45232,67,71,Mumbai,Electronics,0,Credit,0
65,1405.39,67169,55,9,Delhi,Electronics,0,Credit,0
66,2713.94,50669,41,109,Delhi,Travel,0,Debit,0
67,705.48,78021,27,1,Hyderabad,Clothing,0,Debit,0
68,4011.18,69184,49,29,Bangalore,Luxury,1,Debit,1
69,373.68,47945,69,63,Bangalore,Luxury,0,Debit,1
70,4934.45,13140,32,72,Hyderabad,Groceries,0,Debit,0
71,3861.45,83457,54,56,Delhi,Clothing,1,Credit,0
72,994.38,14357,37,118,Hyderabad,Groceries,0,Debit,0
73,28.61,68673,20,68,Mumbai,Luxury,0,Credit,1
74,4077.49,65633,54,35,Bangalore,Travel,0,Credit,1
75,3534.58,76943,74,3,Pune,Electronics,0,Credit,1
76,3645.31,78258,57,118,Mumbai,Luxury,0,Debit,1
77,3856.58,12924,25,109,Mumbai,Clothing,0,Debit,0
78,371.15,69286,57,104,Hyderabad,Luxury,0,Credit,1
79,1792.97,74071,61,7,Delhi,Clothing,0,Debit,0
80,580.23,57326,73,27,Bangalore,Clothing,0,Debit,0
81,4315.65,30651,40,1,Pune,Clothing,0,Credit,0
82,3116.87,70202,57,91,Mumbai,Groceries,0,Credit,1
83,1655.16,48777,28,80,Pune,Travel,0,Credit,0
84,318.73,16994,63,102,Delhi,Luxury,0,Credit,1
85,1555.6,67263,25,71,Delhi,Travel,0,Credit,0
86,1626.59,59634,46,44,Pune,Electronics,0,Debit,0
87,3648.3,10800,47,87,Bangalore,Luxury,0,Credit,0
88,3188.15,37823,73,41,Delhi,Travel,1,Debit,0
89,4436.18,63878,27,75,Pune,Travel,0,Debit,0
90,2361.6,18708,56,42,Mumbai,Electronics,0,Credit,0
91,598.85,12819,45,117,Pune,Clothing,0,Credit,0
92,3566.51,74905,66,33,Pune,Luxury,0,Debit,0
93,3804.16,63870,53,50,Hyderabad,Luxury,0,Credit,0
94,2806.82,9283,30,63,Delhi,Electronics,0,Debit,0
95,3855.06,30573,49,100,Bangalore,Clothing,0,Credit,0
96,2469.48,78707,53,37,Bangalore,Luxury,1,Credit,0
97,2614.14,30933,54,105,Hyderabad,Luxury,0,Debit,0
98,2138.28,5774,43,59,Bangalore,Luxury,0,Debit,0
99,128.07,72055,39,81,Pune,Clothing,0,Credit,0
100,540.35,10983,21,99,Hyderabad,Electronics,0,Credit,0
101,158.11,18133,48,48,Mumbai,Luxury,1,Credit,0
102,3182.42,14939,35,5,Delhi,Travel,1,Debit,1
103,1572.47,781,55,48,Delhi,Clothing,0,Credit,0
104,2543.34,56700,41,96,Delhi,Groceries,1,Credit,1
105,4537.92,27624,73,3,Pune,Electronics,0,Credit,0
106,1247.21,6823,40,116,Mumbai,Travel,1,Credit,0
107,2052.5,18489,39,47,Hyderabad,Luxury,0,Debit,0
108,3778.0,39961,19,62,Hyderabad,Groceries,0,Debit,0
109,1144.76,29118,48,99,Delhi,Electronics,0,Debit,0
110,385.82,81816,72,116,Mumbai,Clothing,0,Credit,0
111,1449.47,22263,28,14,Mumbai,Groceries,0,Credit,0
112,806.95,13565,45,63,Mumbai,Groceries,0,Credit,0
113,4648.56,20354,63,112,Bangalore,Travel,0,Debit,1
114,4040.79,42951,49,61,Bangalore,Electronics,0,Debit,1
115,3167.39,23648,22,31,Delhi,Travel,0,Debit,0
116,4357.43,50729,55,95,Mumbai,Travel,1,Debit,1
117,4018.56,41971,27,17,Mumbai,Luxury,0,Credit,0
118,933.66,18658,57,24,Hyderabad,Clothing,1,Debit,1
119,4462.9,21253,63,116,Hyderabad,Groceries,0,Debit,1
120,2697.17,64166,41,23,Delhi,Electronics,0,Credit,0
121,4037.39,48563,52,82,Mumbai,Clothing,0,Debit,0
122,4480.56,26390,61,50,Delhi,Clothing,0,Credit,0
123,1590.7,51578,65,118,Hyderabad,Electronics,0,Credit,0
124,551.15,79025,40,78,Hyderabad,Clothing,0,Credit,0
125,1140.45,32658,34,114,Bangalore,Luxury,0,Credit,1
126,2136.11,6852,18,79,Delhi,Clothing,0,Credit,0
127,4090.26,2551,72,79,Delhi,Luxury,0,Debit,0
128,4303.79,71947,48,70,Mumbai,Groceries,0,Debit,0
129,35.75,61001,48,27,Mumbai,Groceries,0,Credit,0
130,2554.23,49159,59,15,Bangalore,Travel,0,Debit,0
131,2087.64,51707,74,50,Pune,Luxury,0,Credit,0
132,1111.32,33243,72,36,Pune,Groceries,0,Debit,0
133,600.21,21800,59,119,Pune,Clothing,0,Debit,0
134,1688.74,75939,70,8,Delhi,Electronics,0,Debit,0
135,4714.61,57828,73,79,Delhi,Electronics,0,Debit,0
136,1616.69,7239,51,3,Hyderabad,Luxury,0,Debit,1
137,2594.43,6710,26,62,Delhi,Travel,0,Debit,0
138,3515.39,21384,39,47,Delhi,Clothing,0,Debit,0
139,1818.78,21038,30,77,Delhi,Luxury,0,Credit,0
140,4858.94,40846,42,105,Bangalore,Electronics,0,Credit,0
141,4812.27,67821,65,98,Delhi,Luxury,0,Credit,0
142,1259.66,37991,35,88,Mumbai,Clothing,0,Debit,0
143,2486.75,79057,68,104,Mumbai,Groceries,0,Debit,0
144,1505.09,6971,29,96,Hyderabad,Clothing,0,Credit,0
145,1424.92,29139,57,61,Bangalore,Groceries,0,Credit,0
146,185.4,85445,34,32,Mumbai,Groceries,1,Debit,0
147,3048.21,77067,32,94,Bangalore,Groceries,0,Credit,0
148,2513.89,80257,59,116,Bangalore,Luxury,0,Credit,1
149,258.34,84742,32,113,Hyderabad,Electronics,0,Credit,0
150,1393.95,37711,32,13,Bangalore,Luxury,0,Credit,0
151,4541.42,6530,72,1,Delhi,Electronics,0,Debit,1
152,1198.57,11116,56,34,Bangalore,Clothing,0,Credit,0
153,725.33,65794,30,62,Hyderabad,Travel,0,Credit,0
154,2447.77,282,34,79,Hyderabad,Clothing,0,Credit,0
155,4928.27,79473,49,108,Hyderabad,Luxury,0,Credit,1
156,1211.03,1898,26,78,Mumbai,Luxury,1,Debit,0
157,3361.01,4135,57,93,Delhi,Electronics,0,Credit,1
158,3808.34,6629,37,98,Mumbai,Luxury,1,Credit,1
159,1188.95,85120,43,82,Pune,Groceries,1,Credit,0
160,3641.35,65031,44,118,Delhi,Luxury,0,Credit,0
161,1839.55,33380,38,71,Bangalore,Electronics,0,Credit,0
162,3161.9,17071,35,93,Hyderabad,Electronics,0,Debit,0
163,3168.02,20074,30,119,Pune,Groceries,0,Credit,0
164,2679.34,67843,33,31,Delhi,Electronics,0,Credit,0
165,452.36,39901,26,64,Mumbai,Travel,0,Debit,0
166,4176.68,11205,29,25,Hyderabad,Clothing,0,Credit,1
167,1604.58,55661,61,38,Mumbai,Luxury,0,Debit,0
168,933.41,5906,55,14,Delhi,Travel,0,Credit,0
169,204.83,2591,36,8,Delhi,Luxury,0,Debit,1
170,2954.87,62987,24,91,Pune,Travel,0,Debit,0
171,3388.14,63370,74,54,Bangalore,Luxury,0,Credit,1
172,83.92,80685,52,2,Mumbai,Groceries,0,Debit,0
173,2560.95,54400,65,81,Pune,Electronics,0,Credit,0
174,1133.25,25150,35,101,Hyderabad,Electronics,0,Debit,0
175,3226.22,31852,33,78,Bangalore,Groceries,0,Debit,0
176,872.66,42870,72,89,Pune,Travel,0,Credit,0
177,3455.0,52756,56,56,Mumbai,Clothing,0,Debit,0
178,1934.29,56481,21,94,Delhi,Travel,0,Credit,0
179,4683.71,1283,42,93,Hyderabad,Electronics,0,Debit,0
180,688.47,33691,49,84,Mumbai,Clothing,1,Debit,0
181,1705.99,1125,57,85,Bangalore,Luxury,0,Credit,1
182,568.25,67065,30,61,Bangalore,Clothing,0,Credit,0
183,4623.54,26170,62,117,Delhi,Travel,0,Debit,0
184,4386.82,8438,34,22,Delhi,Groceries,0,Credit,0
185,1290.45,20095,66,35,Hyderabad,Luxury,0,Credit,0
186,3300.26,16154,54,101,Hyderabad,Travel,0,Debit,0
187,4086.29,8004,23,16,Delhi,Luxury,1,Debit,1
188,2776.45,9752,36,50,Delhi,Clothing,0,Credit,0
189,2648.72,55426,30,113,Bangalore,Electronics,0,Debit,0
190,1210.02,26819,74,43,Delhi,Travel,0,Credit,0
191,466.42,24217,43,17,Pune,Groceries,0,Credit,0
192,4486.18,32994,31,80,Mumbai,Clothing,0,Credit,0
193,4502.19,15036,48,58,Delhi,Travel,0,Credit,1
194,3165.87,77275,71,119,Hyderabad,Groceries,0,Credit,0
195,1695.81,49416,21,2,Pune,Travel,0,Credit,0
196,1746.7,9587,56,4,Hyderabad,Clothing,0,Debit,0
197,3630.05,645,25,85,Pune,Travel,0,Credit,0
198,4485.65,30930,42,39,Delhi,Luxury,0,Debit,0
199,4435.55,81835,30,98,Mumbai,Clothing,0,Credit,0
200,3899.6,30090,49,94,Hyderabad,Travel,0,Debit,0
201,3210.52,52142,55,6,Pune,Electronics,1,Debit,1
202,421.62,26475,55,81,Bangalore,Travel,0,Debit,0
203,808.98,18888,73,103,Delhi,Luxury,0,Credit,0
204,4492.87,43732,45,89,Mumbai,Groceries,0,Debit,0
205,3032.54,81623,70,69,Delhi,Groceries,0,Debit,0
206,46.98,46305,47,69,Bangalore,Groceries,0,Credit,0
207,508.26,46037,20,20,Mumbai,Electronics,1,Debit,1
208,3317.85,9346,45,64,Bangalore,Luxury,0,Debit,0
209,26.3,587,20,16,Delhi,Clothing,0,Credit,0
210,804.88,12763,62,51,Pune,Groceries,0,Debit,0
211,2744.12,59165,71,105,Delhi,Luxury,0,Debit,0
212,3459.78,69615,51,37,Delhi,Travel,0,Credit,0
213,3260.15,36116,33,104,Delhi,Electronics,0,Debit,0
214,1122.12,85751,39,73,Hyderabad,Luxury,1,Debit,1
215,3561.18,25556,49,69,Bangalore,Luxury,1,Debit,0
216,1187.01,59042,55,42,Bangalore,Clothing,0,Debit,0
217,1627.67,18099,25,57,Bangalore,Luxury,0,Credit,0
218,3732.71,45096,72,66,Hyderabad,Clothing,0,Credit,0
219,3248.51,71986,25,9,Pune,Electronics,1,Credit,1
220,4246.27,13230,74,107,Delhi,Electronics,1,Credit,1
221,3288.41,29009,23,100,Pune,Travel,0,Debit,0
222,2841.97,70969,31,86,Hyderabad,Clothing,0,Credit,0
223,469.28,33866,49,64,Bangalore,Clothing,0,Credit,0
224,1839.21,84246,52,86,Delhi,Groceries,0,Debit,0
225,1326.75,76975,27,22,Mumbai,Groceries,0,Debit,0
226,1220.7,41855,20,34,Mumbai,Travel,0,Debit,0
227,4865.08,81557,29,55,Pune,Electronics,0,Credit,1
228,1966.1,6416,66,29,Bangalore,Groceries,0,Debit,0
229,4460.34,72516,48,38,Mumbai,Luxury,1,Debit,1
230,3156.06,55915,46,110,Pune,Electronics,0,Debit,0
231,3974.26,18058,22,97,Hyderabad,Luxury,0,Credit,0
232,2513.68,76637,69,18,Pune,Clothing,0,Credit,0
233,2884.94,40718,42,71,Pune,Electronics,0,Credit,0
234,2463.1,32602,58,65,Pune,Travel,0,Credit,0
235,977.02,74658,48,97,Delhi,Clothing,0,Credit,0
236,3612.54,78112,38,1,Pune,Clothing,0,Credit,0
237,1404.58,58067,37,88,Pune,Luxury,0,Credit,0
238,122.56,27516,56,4,Delhi,Clothing,0,Debit,0
239,3227.72,1089,39,4,Delhi,Groceries,0,Debit,0
240,886.38,37346,21,82,Hyderabad,Electronics,0,Debit,0
241,4702.35,74663,30,27,Bangalore,Groceries,0,Credit,0
242,4769.69,10487,62,43,Mumbai,Luxury,0,Credit,0
243,4574.41,155,59,59,Mumbai,Luxury,0,Debit,0
244,1851.42,67494,67,32,Pune,Electronics,0,Debit,0
245,78.27,76229,66,33,Hyderabad,Clothing,0,Credit,0
246,4641.66,38547,37,28,Pune,Travel,1,Credit,1
247,2141.49,28795,69,106,Mumbai,Luxury,0,Credit,0
248,4833.31,55296,30,105,Delhi,Electronics,0,Credit,0
249,4818.14,21447,34,55,Bangalore,Travel,0,Credit,0
250,4265.19,36598,71,100,Hyderabad,Clothing,0,Credit,0
251,1472.95,41814,53,60,Delhi,Luxury,0,Credit,0
252,1926.1,75330,50,70,Bangalore,Electronics,0,Credit,0
253,4255.83,63278,18,62,Hyderabad,Electronics,0,Debit,0
254,1585.29,55077,32,80,Hyderabad,Electronics,1,Credit,0
255,848.29,71906,30,34,Mumbai,Luxury,0,Credit,0
256,2784.45,9528,34,87,Delhi,Travel,0,Credit,0
257,4680.84,50100,41,114,Hyderabad,Electronics,1,Debit,1
258,3480.45,8179,25,106,Hyderabad,Clothing,0,Debit,0
259,2850.74,48781,67,88,Bangalore,Electronics,0,Credit,0
260,486.79,55267,44,56,Mumbai,Travel,0,Debit,0
261,3075.42,82379,62,113,Pune,Luxury,0,Debit,1
262,4950.28,23952,40,13,Mumbai,Electronics,0,Debit,0
263,701.28,53798,63,56,Pune,Electronics,0,Credit,0
264,2592.13,50939,25,18,Delhi,Clothing,0,Credit,0
265,4386.99,29516,25,54,Delhi,Clothing,0,Credit,0
266,3704.1,56526,43,77,Hyderabad,Electronics,0,Credit,0
267,3485.38,10449,64,113,Delhi,Electronics,0,Credit,0
268,3512.72,50290,30,101,Hyderabad,Clothing,0,Credit,0
269,1798.1,72954,56,43,Mumbai,Travel,1,Credit,0
270,1468.67,22746,54,39,Delhi,Groceries,0,Debit,0
271,4047.0,67990,66,61,Mumbai,Groceries,0,Credit,0
272,4050.76,58810,45,42,Mumbai,Electronics,0,Credit,1
273,4335.49,83297,42,81,Delhi,Clothing,0,Credit,1
274,4566.29,15223,33,79,Mumbai,Luxury,0,Credit,0
275,2557.2,72237,72,18,Delhi,Luxury,0,Credit,0
276,2508.08,2597,19,23,Delhi,Groceries,1,Credit,1
277,3991.68,65677,71,54,Delhi,Travel,1,Credit,1
278,3250.17,2659,35,115,Pune,Groceries,1,Credit,1
279,3510.13,74567,34,30,Mumbai,Electronics,1,Debit,0
280,3979.17,15037,47,98,Bangalore,Travel,0,Debit,0
281,4450.14,46738,56,58,Delhi,Luxury,0,Credit,0
282,1690.64,71678,30,68,Mumbai,Clothing,1,Credit,1
283,1878.54,12109,49,67,Hyderabad,Clothing,0,Debit,0
284,470.82,22010,67,71,Delhi,Electronics,1,Credit,1
285,2891.82,8787,46,18,Delhi,Groceries,0,Credit,0
286,180.68,8472,63,106,Bangalore,Electronics,0,Debit,0
287,2328.52,23383,47,7,Pune,Clothing,0,Credit,0
288,2713.68,61709,35,40,Pune,Luxury,1,Credit,0
289,1433.42,69785,30,70,Delhi,Clothing,0,Credit,0
290,2954.58,34518,60,86,Mumbai,Travel,0,Debit,0
291,153.47,53909,38,65,Hyderabad,Clothing,0,Debit,0
292,187.7,18351,47,68,Hyderabad,Clothing,0,Credit,0
293,4113.18,69624,38,110,Mumbai,Travel,0,Debit,0
294,1801.59,53330,65,49,Delhi,Groceries,0,Debit,0
295,636.18,15282,72,52,Hyderabad,Clothing,0,Debit,0
296,2611.69,84866,34,114,Pune,Electronics,0,Credit,0
297,3850.2,21778,57,107,Mumbai,Clothing,0,Debit,0
298,1079.89,24264,36,29,Bangalore,Electronics,0,Debit,0
299,3114.83,59675,69,21,Delhi,Travel,0,Debit,0
300,427.65,5075,32,90,Mumbai,Clothing,0,Credit,0
301,259.36,75948,26,78,Hyderabad,Travel,1,Debit,0
302,2657.24,48454,69,9,Delhi,Travel,0,Debit,0
303,2703.63,28365,27,47,Pune,Groceries,0,Credit,0
304,3187.51,72766,61,76,Delhi,Clothing,0,Debit,0
305,3630.73,48200,48,42,Delhi,Electronics,0,Debit,0
306,4879.28,11002,70,51,Pune,Electronics,0,Debit,0
307,2581.99,13947,40,56,Pune,Clothing,0,Credit,0
308,1615.46,79222,69,51,Delhi,Groceries,0,Credit,0
309,3976.14,78610,47,70,Pune,Groceries,0,Debit,0
310,1354.89,52142,50,20,Mumbai,Groceries,0,Debit,0
311,2195.42,56307,74,88,Pune,Electronics,0,Debit,0
312,393.2,4493,69,27,Pune,Travel,0,Debit,0
313,127.73,50085,26,38,Delhi,Groceries,0,Debit,0
314,4813.28,34228,71,72,Mumbai,Electronics,0,Debit,0
315,4180.06,79676,64,65,Bangalore,Electronics,1,Credit,0
316,3480.18,51875,18,54,Bangalore,Travel,0,Debit,0
317,2045.36,31655,61,113,Hyderabad,Clothing,0,Debit,0
318,867.3,43472,52,113,Pune,Clothing,0,Debit,0
319,783.03,49437,28,24,Pune,Groceries,1,Credit,0
320,1251.96,49416,51,47,Mumbai,Groceries,0,Debit,0
321,2746.58,59711,33,71,Bangalore,Travel,0,Credit,0
322,3573.27,6816,26,83,Hyderabad,Groceries,0,Debit,0
323,3301.33,77175,49,86,Mumbai,Travel,1,Debit,0
324,1400.39,64307,32,63,Pune,Electronics,0,Debit,0
325,4774.37,46733,29,57,Bangalore,Groceries,1,Debit,1
326,3689.75,11240,50,55,Hyderabad,Electronics,0,Debit,0
327,2772.22,71363,62,60,Delhi,Luxury,0,Debit,0
328,3058.99,32762,31,99,Bangalore,Travel,0,Credit,0
329,2098.58,8259,74,62,Hyderabad,Luxury,0,Debit,0
330,1239.41,50139,74,30,Mumbai,Groceries,1,Debit,1
331,1780.51,14849,25,93,Delhi,Electronics,0,Debit,0
332,3789.47,81768,25,22,Hyderabad,Groceries,0,Credit,1
333,72.95,54869,44,75,Hyderabad,Luxury,0,Debit,0
334,581.25,63095,29,84,Pune,Groceries,0,Credit,0
335,230.97,70910,18,29,Bangalore,Clothing,0,Debit,0
336,204.6,23567,60,115,Pune,Luxury,0,Debit,0
337,4277.45,35292,57,41,Delhi,Groceries,0,Credit,0
338,3518.59,74813,59,42,Hyderabad,Electronics,0,Credit,0
339,2371.39,51631,68,98,Pune,Groceries,0,Debit,0
340,490.07,9885,28,65,Bangalore,Electronics,0,Credit,0
341,2458.59,59659,56,31,Delhi,Clothing,0,Credit,0
342,2367.89,54306,60,30,Mumbai,Groceries,0,Debit,0
343,866.84,66314,48,112,Pune,Clothing,0,Debit,0
344,2169.82,65087,34,18,Delhi,Luxury,0,Debit,0
345,1993.13,29165,50,119,Mumbai,Electronics,0,Credit,0
346,3079.63,58929,49,17,Pune,Luxury,0,Debit,1
347,3175.83,67028,46,38,Delhi,Electronics,1,Debit,1
348,227.47,49812,38,14,Delhi,Clothing,0,Credit,0
349,1873.69,50500,38,87,Pune,Travel,1,Credit,0
350,3129.67,79151,57,89,Delhi,Groceries,0,Debit,0
351,2516.18,58643,40,79,Hyderabad,Clothing,1,Credit,1
352,4282.59,44900,73,110,Pune,Electronics,0,Credit,0
353,3293.81,42946,23,56,Delhi,Electronics,0,Credit,0
354,815.51,7851,39,22,Mumbai,Electronics,0,Debit,0
355,353.77,16288,67,67,Mumbai,Electronics,0,Debit,0
356,3212.45,72692,55,56,Hyderabad,Groceries,1,Debit,0
357,133.53,67580,54,119,Pune,Luxury,0,Credit,0
358,2929.29,7368,62,19,Delhi,Travel,0,Debit,0
359,4701.21,85436,68,57,Delhi,Groceries,1,Debit,0
360,2877.8,46403,71,44,Mumbai,Electronics,0,Credit,0
361,1941.46,9168,25,98,Hyderabad,Groceries,0,Credit,0
362,3216.8,49879,58,35,Mumbai,Clothing,0,Debit,0
363,2291.81,59871,66,114,Mumbai,Electronics,1,Credit,0
364,2728.54,32174,52,1,Hyderabad,Travel,0,Debit,0
365,4707.38,6581,68,52,Pune,Electronics,0,Debit,1
366,1931.13,71853,28,85,Delhi,Travel,0,Debit,0
367,4805.99,64046,41,93,Pune,Travel,0,Credit,0
368,4526.85,49678,66,70,Bangalore,Luxury,0,Credit,0
369,979.76,26649,38,37,Bangalore,Luxury,1,Debit,1
370,347.74,82325,68,65,Bangalore,Groceries,1,Debit,0
371,504.79,14567,19,51,Hyderabad,Groceries,0,Debit,0
372,92.09,80404,57,1,Mumbai,Travel,0,Debit,0
373,473.12,61944,36,91,Pune,Electronics,0,Credit,0
374,3415.35,78002,56,21,Delhi,Clothing,0,Debit,0
375,356.87,28803,45,53,Bangalore,Clothing,0,Debit,0
376,1595.56,18230,34,16,Pune,Electronics,1,Credit,0
377,4224.53,17862,23,108,Bangalore,Electronics,0,Debit,0
378,117.34,43355,36,61,Bangalore,Luxury,0,Debit,0
379,4072.53,31259,73,54,Delhi,Clothing,0,Debit,0
380,1409.99,30795,55,40,Hyderabad,Travel,0,Debit,0
381,591.71,8770,45,26,Mumbai,Groceries,0,Debit,0
382,3483.99,11093,19,80,Hyderabad,Luxury,0,Credit,0
383,3145.09,46571,55,92,Pune,Clothing,1,Credit,1
384,4387.48,193,72,65,Hyderabad,Electronics,1,Credit,0
385,3675.62,17569,54,100,Pune,Clothing,0,Credit,0
386,4017.6,11190,68,74,Pune,Travel,1,Debit,0
387,1410.89,62824,69,64,Mumbai,Luxury,0,Credit,0
388,888.02,42752,21,43,Delhi,Electronics,0,Credit,0
389,3753.32,32327,39,17,Mumbai,Travel,0,Credit,0
390,4034.37,42070,43,59,Hyderabad,Groceries,0,Credit,1
391,4952.54,85925,66,23,Pune,Luxury,1,Credit,1
392,2063.68,40197,60,7,Bangalore,Travel,0,Credit,0
393,1860.72,2261,53,44,Bangalore,Travel,0,Credit,0
394,3882.29,26512,30,53,Pune,Electronics,0,Credit,1
395,1704.68,6716,69,71,Mumbai,Groceries,0,Debit,0
396,4653.86,28933,49,108,Delhi,Travel,0,Credit,1
397,4292.21,4378,34,79,Mumbai,Luxury,0,Debit,0
398,2145.54,40583,58,34,Pune,Travel,0,Credit,0
399,3754.6,85371,53,46,Pune,Clothing,0,Credit,0
400,3772.96,29033,72,109,Delhi,Luxury,0,Credit,0
401,516.52,24000,63,68,Hyderabad,Luxury,0,Debit,1
402,4512.86,75868,36,78,Hyderabad,Travel,0,Debit,1
403,2526.76,42604,52,78,Delhi,Electronics,0,Credit,0
404,4132.46,68336,63,16,Hyderabad,Luxury,1,Debit,1
405,1600.93,73869,57,71,Bangalore,Clothing,0,Credit,0
406,4477.72,5410,73,96,Hyderabad,Electronics,0,Debit,0
407,1946.62,83375,45,19,Hyderabad,Electronics,0,Debit,0
408,55.18,56044,18,2,Hyderabad,Electronics,0,Debit,0
409,4527.0,63315,59,10,Bangalore,Luxury,0,Credit,1
410,457.34,71344,35,50,Hyderabad,Electronics,0,Debit,0
411,1597.25,6796,65,81,Bangalore,Travel,0,Debit,0
412,4750.36,54245,57,101,Delhi,Electronics,0,Credit,0
413,4753.09,43056,50,12,Mumbai,Clothing,0,Debit,0
414,2867.62,17709,29,70,Delhi,Groceries,0,Credit,0
415,3159.55,58557,25,22,Mumbai,Clothing,0,Credit,0
416,2242.78,17543,41,32,Delhi,Luxury,0,Debit,0
417,1466.76,37418,33,105,Mumbai,Electronics,0,Credit,0
418,1643.99,16724,67,84,Mumbai,Electronics,0,Debit,0
419,3362.92,3828,21,1,Pune,Travel,0,Debit,1
420,3762.12,17087,55,54,Mumbai,Electronics,0,Credit,0
421,3958.1,12605,61,111,Mumbai,Clothing,0,Debit,0
422,3948.3,31337,44,117,Pune,Luxury,0,Debit,0
423,456.94,5482,26,58,Hyderabad,Groceries,0,Credit,0
424,2472.61,65333,64,70,Hyderabad,Electronics,0,Credit,0
425,288.74,50952,33,83,Pune,Groceries,0,Debit,0
426,2748.09,5463,73,18,Bangalore,Electronics,0,Credit,0
427,2208.21,70448,29,6,Mumbai,Luxury,0,Credit,0
428,4438.63,4648,48,45,Mumbai,Clothing,0,Credit,0
429,1755.22,33623,41,97,Pune,Luxury,0,Credit,1
430,586.22,59156,72,23,Pune,Groceries,0,Debit,0
431,715.82,35634,31,23,Bangalore,Electronics,0,Debit,0
432,3807.79,44602,62,26,Hyderabad,Groceries,0,Credit,0
