Square_Feet,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Dist_To_Center_KM,School_Rating,Walkability_Score,Price
2501,1,3,1962,3,4.47,5,98,557800.0
2180,6,5,1986,1,9.28,5,83,581300.0
1677,5,4,1973,0,4.9,3,92,457100.0
2180,2,3,1951,3,19.91,10,58,563300.0
2769,5,5,1963,2,3.69,10,97,787700.0
1982,4,4,1959,2,3.47,2,87,508200.0
2782,5,3,1984,1,3.09,7,98,709600.0
690,4,3,1974,2,4.05,1,90,284700.0
2410,4,4,1952,2,8.15,6,91,614700.0
2043,4,3,1966,2,12.28,6,78,497900.0
1850,6,4,1961,2,10.86,3,77,518600.0
2045,4,5,2003,0,16.49,2,65,493700.0
1006,4,4,1973,1,21.71,2,59,315700.0
1890,2,3,1978,3,16.93,9,68,529300.0
2178,1,3,1992,2,0.5,5,97,552800.0
2738,3,2,1974,3,13.31,7,73,652900.0
1740,1,1,2009,2,2.34,5,99,433100.0
1595,4,4,2014,2,1.43,7,90,552200.0
1749,2,2,1977,1,10.17,4,83,421800.0
2457,5,5,1965,2,3.85,8,94,718900.0
2164,2,4,1996,1,0.59,10,100,616100.0
1735,4,4,2007,2,1.48,10,93,583200.0
2256,2,4,1976,2,0.5,7,99,598900.0
2048,2,4,2002,3,23.35,10,54,570900.0
2484,4,4,1991,2,0.5,5,100,634000.0
1648,6,6,2008,1,2.35,6,97,565800.0
1836,2,4,1996,0,5.38,5,83,507300.0
1803,3,4,1983,1,4.41,7,92,565800.0
1268,3,2,1986,2,24.27,2,61,323900.0
2148,2,3,1955,2,0.5,5,100,540300.0
2130,6,5,1956,3,7.18,10,93,644200.0
2002,5,4,1974,0,11.41,3,82,503600.0
1882,4,3,1982,2,26.84,9,53,526600.0
1292,3,2,2004,2,9.69,6,82,441000.0
1789,5,4,2007,2,16.28,10,70,577700.0
1828,2,2,1956,2,0.87,3,99,421400.0
1598,5,4,2006,2,4.88,7,90,553400.0
1919,1,1,1961,2,4.68,4,94,491000.0
2202,3,4,1965,1,21.74,3,53,492400.0
2943,2,4,1992,2,1.64,8,100,735900.0
2087,4,4,1956,1,1.65,4,92,564000.0
2128,6,4,2000,2,3.98,1,96,556500.0
1962,2,2,2022,2,0.56,6,100,554600.0
1040,4,5,1981,2,2.01,10,95,502600.0
1986,6,6,2024,3,33.58,1,27,508300.0
2030,6,4,1957,3,5.59,5,94,550400.0
3231,2,2,2021,3,10.0,7,81,744800.0
1903,5,3,1994,2,12.95,6,78,550600.0
2150,5,3,2008,2,4.57,2,90,557800.0
1982,6,4,1953,2,1.59,4,100,535900.0
1415,5,3,2016,3,2.31,2,84,463900.0
2571,1,2,1978,2,3.76,1,94,548000.0
2375,6,4,1978,3,10.11,3,86,562200.0
2395,6,6,1977,3,5.08,3,90,627700.0
1545,4,4,1993,2,0.5,7,100,559100.0
2701,5,3,1953,1,7.41,1,83,553100.0
1299,6,6,1958,1,25.45,9,49,513700.0
2293,1,2,1954,3,16.72,6,58,520200.0
3095,4,5,2005,1,17.44,4,61,707600.0
1504,2,2,1999,3,15.85,3,64,391900.0
1716,6,4,2024,2,3.91,3,95,542700.0
2049,1,1,1964,2,14.49,2,68,387300.0
1748,3,2,1981,3,1.55,2,94,419300.0
1224,1,2,1977,2,10.72,10,76,474800.0
2034,1,2,1971,2,10.26,5,75,535100.0
1468,4,5,1966,2,0.5,9,100,549600.0
2236,2,2,2008,2,15.51,2,70,528800.0
1540,3,4,2020,2,23.36,2,57,392500.0
2774,5,4,2006,1,3.11,6,97,692100.0
1608,5,3,1975,3,16.73,10,69,579200.0
1838,1,1,1974,3,0.86,2,96,438600.0
2406,4,4,1959,2,9.16,4,79,619700.0
1384,4,4,1994,2,6.65,6,82,490500.0
2113,5,4,1960,2,7.89,5,79,538300.0
2653,3,3,2002,2,26.06,1,48,539900.0
1196,2,3,2021,3,20.5,6,55,436400.0
2092,3,2,2017,0,15.38,1,76,450700.0
2129,6,5,1977,1,3.2,3,93,566800.0
2390,6,4,2024,2,24.28,10,58,701500.0
1381,2,2,2014,2,1.03,5,100,420600.0
1339,5,4,1998,2,19.2,10,57,526300.0
2260,2,3,1996,2,3.98,5,91,568100.0
2148,4,3,2001,2,0.55,10,90,641800.0
2125,6,5,2003,2,11.07,6,78,645100.0
2173,1,2,2009,0,2.63,10,91,618800.0
1659,1,2,2006,2,2.79,8,88,494900.0
2116,5,5,1996,1,3.65,5,100,600200.0
2146,4,3,1980,1,0.66,1,100,496300.0
1642,3,4,1995,2,1.95,5,100,486400.0
2932,4,4,1975,1,0.5,3,100,621300.0
2236,1,3,1954,1,5.9,4,82,496000.0
1404,1,2,2001,1,0.88,8,96,446200.0
2328,6,6,2024,3,11.48,7,75,698600.0
1512,4,4,2003,3,2.69,5,86,511400.0
2393,4,5,1982,2,28.75,2,39,514900.0
2579,1,3,1999,3,20.5,6,56,602200.0
1589,3,4,1987,2,3.42,6,93,478600.0
2481,5,3,1976,2,15.29,10,82,668900.0
2206,5,5,1964,0,16.26,10,67,627800.0
2411,4,3,2010,2,43.1,6,14,571600.0
2948,5,4,1970,2,9.11,9,80,754400.0
1877,1,3,1995,2,0.86,8,100,547100.0
1623,1,2,2018,2,10.41,8,73,473500.0
1555,4,4,1955,2,9.81,1,89,395400.0
1592,4,5,1987,2,10.17,5,79,545200.0
1961,6,4,2011,3,3.67,7,90,607300.0
2170,4,5,2011,2,19.64,6,65,606200.0
2138,3,3,2023,2,32.06,5,31,512800.0
2413,5,4,1995,2,2.46,8,98,693300.0
2006,4,5,1962,2,0.92,3,100,558500.0
2726,2,2,1952,2,2.16,6,94,609200.0
1867,6,4,1955,0,17.18,5,75,523400.0
3360,2,3,1957,2,11.29,8,80,811300.0
2312,1,2,1993,1,10.11,4,83,529800.0
1571,5,3,1982,2,5.14,8,96,569200.0
1464,4,5,2024,2,8.62,10,90,588900.0
2241,2,3,1999,2,3.68,2,93,497500.0
1888,5,3,1960,1,6.49,9,91,579600.0
2357,1,2,1977,2,15.75,9,75,574800.0
2236,3,4,2019,1,39.76,10,14,583000.0
1963,6,4,1990,3,26.95,10,37,606200.0
1576,5,4,1965,3,27.16,6,45,463200.0
1242,5,5,2017,3,5.15,4,80,445500.0
1776,3,3,1997,2,6.33,4,85,552500.0
2428,5,5,2005,2,12.23,6,77,674900.0
2107,1,3,2013,1,25.54,5,47,500100.0
1377,1,1,2008,2,1.53,6,96,422200.0
2086,3,4,2011,2,3.63,7,87,633700.0
2192,6,5,1960,2,1.5,7,100,695200.0
1558,4,5,1967,3,9.47,9,75,567900.0
2076,2,4,1968,1,3.66,8,82,583600.0
2029,4,3,2004,3,3.95,6,91,612800.0
1428,5,5,1975,2,0.74,6,100,516300.0
2178,2,4,1955,2,4.3,5,91,559000.0
2280,3,3,1953,1,19.84,1,54,486300.0
2541,3,2,1978,0,2.65,9,95,637700.0
2526,6,4,2008,2,11.88,9,78,659700.0
1311,2,2,1966,2,9.93,9,80,431400.0
1531,1,3,1992,1,19.91,8,58,472600.0
2257,2,2,2015,2,1.42,10,99,658300.0
2256,5,5,1983,3,37.98,3,15,560000.0
2257,1,3,1957,3,8.74,1,78,462200.0
3926,3,3,1962,3,50.0,8,0,806900.0
2285,2,3,1957,2,24.25,7,58,544900.0
2567,4,4,2014,2,2.5,5,98,674700.0
2477,6,5,1992,2,0.58,10,99,771500.0
2325,4,4,1988,2,2.95,7,86,604800.0
1842,6,6,2008,0,7.5,10,88,627700.0
2379,5,5,1993,1,1.88,4,100,601100.0
1613,4,3,1958,2,1.83,9,99,561600.0
1881,2,4,1986,1,6.21,10,87,577600.0
1757,2,4,2023,2,0.5,2,100,532200.0
2040,4,4,1985,1,1.3,9,98,623500.0
3157,2,4,1977,0,5.38,9,93,717000.0
1066,5,4,1991,2,0.65,5,100,419800.0
2343,1,1,1992,2,5.05,1,88,477800.0
1193,5,3,1991,2,6.42,7,83,472000.0
1764,6,6,2015,1,6.0,10,85,628000.0
2544,5,3,2004,1,20.34,10,62,694600.0
2032,6,6,2021,2,7.55,4,83,628600.0
1461,2,2,1997,2,6.31,9,83,471500.0
1642,1,2,1971,2,5.29,6,89,498000.0
2339,2,3,1976,2,17.02,3,71,499000.0
1634,3,3,2016,3,22.54,6,55,450500.0
2108,2,3,1962,2,19.19,10,60,533100.0
2022,6,6,1994,2,11.19,6,79,645900.0
1674,2,2,1959,2,1.48,5,97,450700.0
3071,2,4,1958,2,3.24,2,83,628700.0
2316,1,2,2003,2,0.5,10,100,598500.0
987,2,4,1976,2,26.71,10,48,400400.0
2093,1,1,1983,2,10.81,2,78,495900.0
1669,4,5,1950,1,13.72,7,77,456800.0
2426,3,2,1981,1,3.73,2,98,513600.0
1603,1,3,2020,2,18.69,6,66,500400.0
1942,6,4,2016,3,3.01,5,89,622000.0
2252,4,3,1969,0,0.5,4,94,539500.0
2432,1,2,1984,3,4.72,7,96,599900.0
1399,1,1,1966,2,8.46,8,73,430000.0
1832,3,3,1967,3,6.51,4,86,486100.0
1762,6,5,1994,3,19.81,1,62,518800.0
1673,5,4,2002,2,1.11,1,89,480700.0
2882,5,5,2017,1,8.07,1,85,685500.0
2202,1,3,2014,1,7.19,1,90,490000.0
1369,2,4,1950,1,3.3,5,85,370400.0
2458,6,6,2007,2,17.27,4,73,615300.0
3061,4,3,1975,1,13.98,9,66,706600.0
2516,2,2,1969,2,13.2,3,76,521800.0
1240,2,4,1959,2,20.89,7,57,458200.0
1757,6,4,2008,3,12.83,8,74,593500.0
2633,1,1,2024,1,2.64,6,88,606500.0
1646,1,2,1990,0,12.23,10,81,525900.0
2221,1,2,1954,0,3.68,1,94,409000.0
2387,1,2,2014,3,2.77,8,100,609800.0
1536,5,4,1966,2,0.76,10,92,553500.0
1970,1,1,1971,1,13.63,3,71,426200.0
600,5,5,1990,1,12.41,8,76,420100.0
1487,5,3,2017,1,2.67,4,94,485500.0
1873,1,1,2018,1,13.84,8,75,512000.0
1376,3,2,1960,3,24.99,1,49,304900.0
2816,4,4,2005,2,1.14,3,100,673100.0
1284,2,3,2000,2,2.65,6,94,418800.0
1779,5,4,1970,3,13.87,9,57,588500.0
2065,6,6,1975,1,3.21,2,94,550800.0
2720,6,4,1968,2,9.8,1,86,576900.0
1282,4,5,2009,3,0.85,10,93,563600.0
2581,6,5,2020,2,6.02,3,83,614800.0
2005,3,4,1996,2,13.44,4,68,556200.0
1509,6,4,2020,1,11.6,5,71,520600.0
2231,2,2,1975,1,16.88,3,63,484300.0
2099,2,3,1989,1,20.99,10,62,534300.0
1699,5,4,1954,2,14.84,2,77,422200.0
2034,1,3,1970,2,11.13,2,65,451300.0
1807,3,3,1953,3,0.5,7,97,522500.0
2056,5,4,1972,2,7.66,9,86,579400.0
2331,3,2,1964,3,0.5,10,100,610200.0
2793,1,2,1957,3,16.51,2,76,529900.0
1381,6,5,1990,1,3.87,7,82,494800.0
3066,6,4,1968,2,8.27,7,70,784200.0
1023,1,1,1995,1,3.28,7,100,379300.0
1924,5,5,1977,2,15.26,3,73,494000.0
2294,1,2,2017,3,21.76,7,53,585800.0
2140,4,3,1964,1,5.09,1,90,509500.0
1688,2,4,1986,2,19.87,10,61,541200.0
1895,5,5,1950,2,3.11,1,90,489500.0
1753,3,3,2016,2,7.65,5,85,495700.0
1705,4,4,1973,2,19.57,2,62,417100.0
2424,5,5,1976,2,3.94,9,100,667800.0
2178,1,1,1989,0,30.8,7,43,515300.0
1653,1,3,2012,1,1.3,4,100,445800.0
2449,1,2,2010,0,0.5,4,92,559600.0
2153,1,1,1985,2,23.45,2,51,398300.0
2406,3,2,1973,1,0.71,5,99,567000.0
2314,4,5,1973,3,48.15,4,0,586100.0
1585,6,5,1953,2,30.24,1,45,383100.0
1719,2,4,2016,2,1.47,8,100,596600.0
2373,3,4,1983,2,7.71,3,82,563800.0
2305,3,4,2006,2,2.04,6,94,639200.0
1989,6,4,1998,3,5.59,4,95,599800.0
2058,6,4,2002,0,0.63,9,94,657700.0
2638,2,3,1972,1,2.54,7,100,630300.0
1704,2,3,2018,2,4.51,9,89,548400.0
2273,6,6,2002,0,5.77,10,92,714100.0
1898,1,3,2011,0,37.94,3,24,448400.0
1891,3,4,1990,2,16.5,1,78,411100.0
2549,5,4,2006,0,13.37,5,68,586800.0
2412,2,2,2009,2,7.7,3,81,500800.0
2406,2,2,2003,1,18.33,6,55,535900.0
2652,6,6,2019,3,4.14,8,86,789000.0
2010,4,5,2006,2,12.34,4,78,571400.0
2340,5,5,1959,2,50.0,5,8,512800.0
1844,5,5,1989,2,3.78,5,96,560300.0
2162,2,3,1956,3,11.21,4,77,479500.0
1934,1,1,1987,1,18.6,4,58,398300.0
2048,4,5,2010,3,24.75,4,54,554700.0
2297,5,4,1952,2,12.66,4,69,588900.0
1590,2,4,2000,2,3.34,4,86,457400.0
3046,5,5,1996,2,3.95,5,90,785400.0
1496,4,3,2017,1,0.5,2,88,463500.0
1392,4,5,1987,2,14.31,2,64,456000.0
2579,3,2,1985,2,0.5,9,100,663300.0
2395,6,4,1990,0,20.0,2,52,589800.0
2312,6,4,2018,2,1.26,6,91,715300.0
2314,2,3,1962,1,1.89,2,96,501500.0
1993,4,4,2007,1,6.47,5,87,553200.0
1551,3,2,1999,1,13.39,4,72,394200.0
2037,3,4,1979,0,1.5,7,86,546000.0
1661,5,3,2011,2,5.8,7,92,512200.0
2487,5,5,1974,1,6.59,6,84,634100.0
1926,3,2,1976,3,2.39,10,100,591500.0
1587,5,5,2000,2,1.23,5,94,513900.0
1839,4,4,2006,1,18.1,1,68,456200.0
2206,1,3,1996,2,6.98,3,92,519100.0
1718,4,3,1988,3,0.5,9,96,561400.0
1588,3,3,1965,2,16.24,1,71,374100.0
2121,3,4,1971,0,39.53,5,14,463900.0
2122,4,5,2003,3,9.31,2,82,540900.0
1746,5,5,1970,2,7.01,4,92,495200.0
1764,5,5,2021,1,21.07,1,60,467600.0
2116,6,6,1965,0,30.47,3,51,506400.0
1275,3,3,2008,2,14.05,10,74,460500.0
1296,2,3,1980,1,5.9,7,86,449900.0
1640,6,5,1991,3,8.97,10,96,626700.0
1893,5,4,2023,2,12.07,3,84,551600.0
2155,4,3,1981,3,2.16,4,87,531300.0
2737,5,4,2008,2,5.93,2,84,628200.0
2428,4,5,1983,1,17.71,3,59,578500.0
1920,6,6,1958,1,10.63,9,81,610700.0
1990,3,3,1960,2,5.3,3,92,499700.0
1498,5,5,1959,2,10.89,5,81,492400.0
1990,4,4,1966,2,1.26,2,89,518500.0
1855,3,4,2017,1,5.13,4,86,555500.0
2161,2,2,1997,1,15.76,7,67,554700.0
1586,4,3,2001,0,2.49,7,85,514800.0
2259,6,5,1974,2,2.06,3,91,594400.0
2766,2,3,1970,0,30.12,5,46,564100.0
1945,2,3,2014,2,2.36,1,87,444900.0
2200,1,3,2012,2,3.02,10,100,588300.0
2345,5,4,2000,3,34.94,10,35,656000.0
1799,4,3,1985,2,13.27,10,72,598900.0
2112,2,4,2015,1,12.03,1,72,479500.0
2006,1,2,1964,2,19.17,5,65,496700.0
2048,6,6,1988,2,1.23,10,93,691800.0
1613,3,4,2019,2,12.24,9,71,500600.0
2012,4,4,1950,3,7.01,1,85,503200.0
2248,2,4,1972,3,17.67,1,54,473400.0
2725,5,3,1988,1,7.1,4,78,661300.0
2479,1,1,2006,1,9.68,4,79,501000.0
3076,2,4,1983,2,6.5,2,89,657700.0
1616,5,4,1990,2,6.5,9,82,546900.0
2436,2,4,2022,0,14.61,9,69,654700.0
2091,4,3,1962,2,9.9,2,72,506500.0
3094,4,5,2019,2,10.03,9,84,814400.0
1595,4,5,1955,1,5.98,6,89,504000.0
1580,6,4,2001,2,7.57,8,86,525400.0
1700,6,6,1952,3,13.69,10,75,624400.0
938,1,3,2012,0,17.48,4,65,340000.0
1737,4,4,1998,2,11.93,2,73,437100.0
1620,5,4,1996,2,25.78,2,54,404500.0
2075,2,2,2004,3,17.17,9,66,593300.0
2170,3,2,2013,3,8.25,1,82,487800.0
2938,5,3,2014,2,11.13,7,77,701200.0
2475,6,5,2016,2,26.08,3,47,611400.0
1711,6,4,1964,2,9.65,3,79,465900.0
1550,5,3,1981,2,17.42,2,67,414700.0
2245,6,4,2017,1,11.67,10,71,674100.0
1339,4,4,1967,1,8.03,6,79,442600.0
2915,1,3,1992,1,2.77,10,97,753000.0
2589,2,2,1984,2,5.55,2,88,485000.0
1765,1,3,2007,0,34.34,10,36,505900.0
1143,2,2,1982,3,10.72,4,80,377100.0
2676,2,4,1963,1,8.31,10,80,673200.0
1942,1,2,1983,1,27.02,9,48,519700.0
2618,5,4,2010,2,8.83,9,88,698600.0
1202,2,2,1953,2,7.47,6,87,362900.0
1700,1,3,2008,0,14.24,4,74,413600.0
2002,2,3,1978,2,12.47,7,74,555600.0
2023,3,2,1955,3,2.15,1,100,410500.0
1774,5,3,1998,1,6.37,4,84,540900.0
2311,4,4,1989,2,6.4,5,88,593200.0
1466,2,3,2014,3,4.75,8,100,520300.0
1928,3,2,2018,0,7.28,2,88,474400.0
2060,4,5,1976,2,5.33,5,87,577600.0
2257,4,5,1955,2,2.22,6,93,599100.0
2355,2,4,1962,2,5.32,5,89,607200.0
1437,1,1,2013,1,0.75,9,100,460200.0
1232,2,3,2011,0,8.58,10,83,457400.0
2638,3,2,1968,2,19.22,1,58,535700.0
2166,4,4,1992,0,12.92,3,70,531200.0
1625,2,4,2023,2,4.47,2,91,487800.0
2775,1,3,1969,2,0.91,3,98,594900.0
2057,2,3,2017,2,2.26,10,97,608800.0
2589,5,4,1993,3,7.89,9,88,723400.0
2033,1,1,1972,2,2.32,9,100,532600.0
3030,3,4,1951,0,7.85,10,76,726200.0
2877,4,3,1971,3,2.63,2,98,650100.0
1875,2,2,2006,1,18.9,3,62,479700.0
2485,1,1,2021,1,5.06,4,80,544500.0
2322,5,5,1956,2,2.82,9,100,653800.0
2684,1,1,2005,2,16.73,3,68,535300.0
1517,6,4,2016,2,4.2,7,95,562500.0
2343,5,3,1965,1,1.18,3,89,570500.0
2529,3,2,2000,2,8.45,7,81,654800.0
1120,4,3,2021,1,8.71,7,77,460200.0
1408,3,2,1961,3,12.54,9,85,436500.0
980,2,4,2002,1,2.75,2,100,332700.0
1865,1,1,2024,3,5.87,6,84,463000.0
2358,6,5,1954,2,3.32,9,85,720200.0
2751,5,3,1976,3,0.84,2,99,576700.0
2037,5,3,1961,2,20.92,2,63,434600.0
2814,1,3,1966,2,13.05,5,65,593700.0
1309,6,6,1955,2,3.59,10,88,578300.0
1148,1,2,1954,1,9.15,10,76,400400.0
1972,2,3,2006,1,2.25,10,99,592700.0
2192,3,4,1977,3,22.09,8,53,577000.0
1983,5,5,2018,3,1.22,9,95,670800.0
966,2,2,2008,2,0.5,2,99,294900.0
1955,3,4,1982,1,6.97,5,81,504100.0
1347,2,3,2011,2,8.75,7,75,499600.0
2334,6,4,1999,2,8.65,6,89,649900.0
2183,5,4,1968,2,0.56,6,100,626800.0
1530,1,1,2018,2,3.77,7,93,459900.0
1743,1,3,2015,3,6.92,3,87,454100.0
1470,3,3,1996,1,2.44,3,100,437500.0
1968,4,3,1988,2,20.61,10,59,598700.0
2477,6,4,2017,2,0.91,9,96,751900.0
1507,3,4,1982,2,6.68,8,86,508000.0
2252,4,5,1962,1,11.76,5,83,601700.0
1734,2,4,2003,0,3.03,6,94,451400.0
1603,6,5,1956,3,9.79,10,77,608700.0
1946,2,2,1963,2,17.68,1,65,389900.0
1482,5,5,1968,2,2.11,10,99,588400.0
1723,6,5,2003,3,24.92,1,52,446400.0
1401,4,4,1969,2,8.06,4,86,402900.0
2982,5,4,1978,1,3.56,2,88,670200.0
2017,1,3,1973,2,5.64,7,92,497700.0
1650,4,5,2012,2,3.74,2,92,478500.0
2106,3,2,2023,2,12.91,10,70,588800.0
1943,1,1,2006,2,15.91,2,71,410800.0
1889,1,3,1957,2,17.89,5,61,473500.0
2307,3,3,2011,2,42.52,4,7,486800.0
2378,6,5,1978,3,15.67,8,63,679700.0
1734,1,2,2023,0,9.2,4,80,459200.0
1712,4,3,1966,1,4.14,6,94,483800.0
1862,5,4,2015,2,7.87,5,79,538700.0
849,1,1,1955,0,0.5,2,97,280600.0
1242,4,3,2007,1,13.66,8,66,458000.0
2683,2,3,2018,3,5.91,2,93,609900.0
2822,4,4,1977,3,0.5,9,100,760800.0
1875,5,5,2011,2,0.65,9,100,613000.0
2288,4,5,1990,1,4.9,3,95,561900.0
2155,3,3,2018,1,8.76,4,86,551600.0
3539,5,3,1990,1,6.24,8,77,769200.0
2559,6,4,1998,0,9.65,9,81,700800.0
1936,2,2,1998,3,6.54,3,84,452200.0
1522,3,2,2020,1,10.84,5,82,471900.0
1196,6,4,1952,2,2.47,8,82,496600.0
2101,4,5,1959,0,1.2,3,98,569500.0
1621,5,4,1984,3,9.07,7,80,533500.0
1288,2,4,1951,2,6.63,8,92,450100.0
1676,3,2,1973,3,0.5,10,100,541800.0
1459,6,4,2023,2,4.79,3,85,470700.0
2843,6,4,1987,2,1.12,2,93,732300.0
2440,2,2,1971,1,7.58,10,85,649000.0
1996,4,4,1975,2,5.04,7,98,552700.0
2739,2,2,1992,2,9.5,9,81,736300.0
2038,6,5,2004,2,16.38,1,60,512300.0
1569,1,1,1988,0,3.56,3,89,387800.0
2761,3,3,1978,0,32.73,5,35,598700.0
2269,2,4,1969,2,7.67,3,85,493600.0
1481,6,4,1990,2,9.63,1,77,409700.0
1904,4,4,2003,2,11.42,7,74,608000.0
1562,6,6,1969,1,10.99,7,73,538700.0
1308,4,3,1968,2,7.15,10,91,523400.0
2463,2,2,2015,1,5.6,8,84,616900.0
2954,4,3,1979,0,0.55,5,96,676600.0
1300,5,4,2002,2,0.5,10,96,597100.0
2281,5,4,1983,1,4.43,5,83,613200.0
1674,5,5,1971,1,4.06,5,87,512400.0
1756,1,2,2016,2,4.91,1,96,397000.0
1703,2,3,1955,1,1.49,10,90,522700.0
1568,6,4,1976,0,13.4,5,68,509900.0
2024,6,4,1959,0,19.45,6,54,560800.0
1584,1,1,2022,1,27.92,1,43,296500.0
2135,4,3,1997,0,6.78,7,95,584900.0
1974,1,1,2019,2,12.07,1,75,417300.0
1880,4,3,2008,1,19.35,2,61,462700.0
1546,4,3,2008,1,5.42,2,85,417500.0
1711,3,4,1951,2,3.7,5,92,514700.0
2377,6,6,1978,2,27.6,10,50,687800.0
2250,5,5,2017,3,7.25,7,86,673300.0
1511,4,5,2014,2,6.88,1,96,427800.0
2049,3,2,1975,2,1.97,10,100,580100.0
2375,6,6,1959,2,1.14,1,97,662400.0
1165,5,3,2002,2,18.46,1,62,391300.0
2271,4,5,2008,2,9.52,6,89,626400.0
1668,4,4,1971,1,3.94,2,92,488600.0
2285,1,3,2000,1,2.13,1,100,531300.0
1618,1,3,1997,1,8.11,6,93,446900.0
1097,6,4,1970,3,8.77,2,81,366400.0
1186,5,5,1971,2,2.32,6,97,488000.0
2024,4,4,1979,2,19.07,10,66,609000.0
2129,6,4,1974,2,0.88,8,100,632000.0
1547,6,4,1977,2,4.4,2,94,477300.0
2319,2,4,2014,1,11.41,9,70,603500.0
1169,1,1,1994,1,3.2,8,89,406300.0
1966,5,3,2017,3,17.58,10,62,584800.0
1394,4,3,1956,2,13.47,1,79,327500.0
1674,6,4,1998,2,15.56,7,62,523800.0
2023,4,3,1958,3,1.27,10,100,626500.0
1569,2,2,1985,1,1.51,6,100,440400.0
1807,5,4,1950,3,3.38,6,99,511300.0
2503,6,6,1959,2,7.3,6,80,689800.0
1711,4,4,1985,2,13.78,6,72,546400.0
2417,1,1,2022,2,18.11,10,65,625800.0
1435,2,2,1995,1,12.19,7,76,480900.0
2264,5,5,1981,1,26.39,3,48,575000.0
2720,2,3,1981,2,13.42,6,71,612000.0
764,1,3,1955,3,3.66,3,93,303100.0
1601,5,4,1997,2,3.08,7,99,542700.0
2288,2,2,1987,1,11.91,7,70,586900.0
1898,3,4,1966,2,2.14,8,100,568600.0
2185,1,3,2023,1,0.97,2,100,495100.0
1698,1,1,1976,0,7.6,9,79,509300.0
2043,1,3,2003,2,17.24,5,67,508900.0
1922,3,3,1999,2,1.07,9,100,576600.0
2583,3,3,1984,0,15.7,10,62,648100.0
2127,4,4,1974,0,16.69,5,66,518400.0
